0,1,2,3,4,5,6,7,8,9,10
Pactima,Joel Kapongo,"Co-founder & CTO of Pactima. Focused on tech and moving the business forward. Son of Congo, adopted by Canada.",Moktar Yusuf,Co-founder & CEO of Pactima.,,,,,,
Adra,Yasaman Nematbakhsh,"I am a scientist turned entrepreneur and CPO of Adra. I co-founded a biotech edtech startup prior to Adra where we sold biotech educational kits to 5 countries and won top 5 global education startup award. I have a PhD in biomedical engineering from the National University of Singapore (NUS), where I studied the mechanical properties of breast cancer cells. I also hold a Bachelor of Science in Mechanical Engineering and a Master of Science in Bioengineering from Georgia Institute of Technology.",hamed fesharaki,"Hamed, the CEO of Adra, has been a dentist & clinic owner for the past decade. He founded the first open concept dental clinics in Singapore where the patients could clearly see all sterilization and lab work procedures. Hamed co-founded Adra after he saw a need in a tool that gives confidence to the dentists and increases patients' trust to minimize the revenue loss of the dental clinics. He obtained his bachelor of dental science with highest honors from Trinity College Dublin.",Liushifeng Chen,,,,,
BlackOakTV,Uzo Ometu,"Uzo is a lover of all things media and hopes to bring more underrepresented voices into the content the world sees by leveraging his experience in journalism, entertainment, and technology. Currently, he's doing just that through his new venture, BlackOakTV, which is a subscription video service superserving black audiences.",Iyanu Obidele,,,,,,,
StandardCode,Daniel Hung,"Bay Area native. MIT graduate. Started career as a trader at an investment bank, then hedge fund. Made the switch to tech as engineer #2 at Homejoy. Later ran the product team at Kite.",Arjun Naskar,"Co-founder at StandardCode (S21); Head of B2B Marketing at Remind (IK12), Employee #2 at Homejoy (S10).",,,,,,
"SFA Therapeutics, Inc.",Alla Arzumanyan,"MS is Microbiology,
PhD in Biotechnology,
Assistant Professor at Temple University,
Co-Founder and Co-Inventor at SFA Therapeutics, Inc.
Performed a case-control, Proof-of-Activity Human study to evaluate treatment effect of SFA002 drug (proprietary of SFA Therapeutics, Inc.) on patients with plaque psoriasis.
Worked with Axella Research on pre-IND application for SFA002.
Worked with HEC (Sunshine Lake Pharma Co., China), Theravectys, and ThirdLaw LLC (still collaborating with the latter)",Mark Feitelson,"Mark Feitelson received his Ph.D. in Microbiology/Immunology from UCLA. He began his work with hepatitis B at Stanford University, and was then recruited to the Fox Chase Cancer Center by Dr. Baruch Blumberg (Nobel laureate). In 1991, Dr. Feitelson moved to Thomas Jefferson University, and in 2007, to Temple University as a Professor of Biology. His work has been supported by NIH, industry and foundations. He has more than 150 publications and 180 abstracts. He is also CSO of SFA Therapeutics.",Ira Spector,"Dr. Spector is the co-founder of SFA, a microbiome-derived pharmaceutical company focused on new advancements in the treatment inflammatory diseases. An experienced drug developer with over 30 years of experience, he helped develop 34 drugs and 12 medical devices, including Enbrel, Effexor, Protonix, Prevenar, Ozurdex, Botox for Overactive Bladder, Chronic Migraine and Cerebral Palsy. He holds BS degrees in Physics and EE from Washington University, an MBA from Drexel, and a PhD from Rutgers.",,,,
Spot,Raffaele Colella,"2x founder
Google News App lead PM
First startup was a 4.5 years long ride, 2 apps, 1 Apple Best New App and multiple feature, Acqui-hired by Google
MIT Sloan MBA
From Naples ❤️(Italy)",Ulysse Mizrahi,"Co-founder & CTO @ Spot

-----
Previously :
Senior Engineer & Product @ Upflow (YC S2020)
CTO @ Fitle
R&D Engineer @ Dataiku
Head of Data Science @ Nextperf (now Rakuten Marketing Europe)

Education: Masters in Mathematics & Theoretical Physics from University of Cambridge & Ecole polytechnique",,,,,,
Crew,Mohamed Labouardy,"CTO & Co-Founder @Crew.work
Besides building a spaceship to reach the moon at @Crew.work. I have founded Komiser.io, a cloud cost optimization platform and written a couple of books about distributed applications and DevOps practices.",Amine Skalli,"Founder @Crew. 
Prior to Crew I founded 2 other companies in the recruiting field, and was a professional recruiter for 4 years. I mainly recruited software engineers. 
Should you have any question about all things recruiting, feel free to reach out !",,,,,,
Canopi,Tomas Alvarez Belon,Taishi Nojima,,,,,,,,
Therify,James Murray,"James is co-founder and CEO of Therify. He previously led partnerships with digital news organizations at Facebook and Instagram. Prior to Facebook, he worked on the enterprise sales team at InVision, a venture-backed product design platform.",Warren Sadler,"My background is unique as a technical founder as I started my career as a musician and designer. I've worked for large healthcare companies like HCA, consumer companies like Asurion, and working as a consultant with McKinsey. 

My passion is helping individuals find the therapy they need. Having seen what meaningful conversation, self exploration, and self improvement can do to transform lives firsthand, I am deeply committed to make a more resilient, thoughtful, and connected world.",,,,,,
Plai,Logan Welbaum,"I left my job at Facebook to make digital marketing easy for anyone. 

https://www.tiktok.com/@plai.io",,,,,,,,
Abatable,Maria Filmanovic,"Prior to founding Imprint Zero, Maria worked as a Vice President at Goldman Sachs and advised large corporates and institutional investors on nature-based carbon removal and impact investment portfolios, most recently focused on work around carbon offsetting procurement",Valerio Magliulo,"Previously Product @ Facebook, Google, Monzo and Uber. Based in London, UK",,,,,,
ContraForce,Stan Golubchik,"Stan Golubchik is CEO and Co-Founder of ContraForce. He has been in the IT and Cybersecurity space for 15 years. Bringing extensive experience in executive roles at McAfee, and Armor Cloud Security. Stan started his career working in a NOC and found his footing in cybersecurity when joining Intel Security. He possess several certifications and is passionate of building future innovation and leaders within the space.",Ricky Melendez,"Ricky Melendez is CTO and Co-Founder of ContraForce. He has been in the IT and Cybersecurity space for 10 years. He brings extensive experience in building Security Operation Centers from the ground up in McAfee, and leading security teams in Armor Cloud. Ricky graduated from UT Austin with a focus on computation mathematics and computer science.",,,,,,
Storylane,Akash Bansal,"Founded Kinderlime, the largest preschool SaaS platform, ran it for 7 years and then sold it in 2019 to Warburg Pincus. Product and Pre-sales at Rambus (high speed signalling), worked at multiple networking hardware startups. Obsesses over customers, mission driven teams and product.",Nalin Senthamil,"Nalin is technologist and product driven entrepreneur. Earlier, he co-founded Kinderlime (acquired by Warburg), an early education platform for schools. Prior to that he was founding engineer/CTO at DAQRI building hardware/software stack for AR wearables for industrial applications.",,,,,,
Byte Kitchen Limited,Divyang Arora,"Divyang is the CEO of Byte Kitchen which he co-founded with Quinn and Rahul. LinkedIn summary below...

ex investment banker @ evercore, management consultant @ booz and co., early employee + led fundraising @ central square foundation - a venture philanthropy organization

mba @ harvard, systems engineering @ upenn",Quinn McKenna,"I'm a restauranteur, interested in the intersection of tech and the restaurant business. I advised OpenTable, Proven, CTUIT, Rezku and a few others in the space in various capacities. LinkedIn has the gory details...",Rahul Madadi,,,,,
Moving Parts,Robb Böhnke,I like short bios.,Michael Nino Evensen,Product Designer and Co-Founder of Moving Parts,,,,,,
Membo,Vahur Hansen,"I used to move money across borders working in Wise and have somehow ended up doing the same with fruits and vegetables now 🤓. I'm a campervan-enthusiast, surf-loving guitar head who likes to code stuff (and talk to our users, of course).",Paula Kink,"Overly enthusiastic entrepreneur who loves loves solving problems with building impactful companies!✨ I have a legal degree, but the moment I left uni I started building my first company (which was in the medtech sector). I am also a big foodie, so building Membo is a dream come true! Oh, and if you couldn't already tell, I am also a full time dog mom.. 😅🦊",,,,,,
